@lat,@lon,name
36.9840676,127.4717188,대소IC
37.2312354,127.4284449,호법분기점
37.2408554,127.4251626,호법분기점
37.0897664,127.4519594,일죽IC
37.0928049,127.4491278,일죽IC
36.2702812,127.8318067,영동IC
36.1339340,128.0918159,김천IC
36.1338681,128.0944998,김천IC
36.0698388,128.3691314,남구미IC
36.1087948,128.3607286,구미IC
36.1067118,128.3615476,구미IC
35.8868757,128.5256299,서대구
35.8933629,128.5206285,금호분기점
35.9111842,128.6563542,도동분기점
35.9121277,128.6611624,도동분기점
35.8823829,128.6999067,동대구 분기점
35.9225456,128.9537984,영천
35.8409678,129.0875772,건천IC
35.8453944,129.0840568,건천IC
36.3414308,127.4821931,비룡분기점
37.0723021,127.1332433,안성휴게소 (서울방향)
37.2170605,127.0975883,기흥(동탄)
37.2185447,127.0981795,기흥(동탄)
37.2668015,127.1036946,수원신갈
37.2831502,127.1038497,신갈분기점
37.3303789,127.1036042,죽전휴게소
35.7517220,128.3562514,동고령 나들목
35.7547345,128.3618758,동고령 나들목
36.0700101,128.3726288,남구미IC
36.7648179,126.7032319,고덕 나들목
36.5900545,126.5611470,홍성IC
36.7126934,126.5625934,해미IC
36.4978968,126.5850391,광천IC
36.3334279,126.5750598,대천IC
35.4140863,126.6504184,고창분기점
35.2998222,126.5582987,영광나들목
35.0225384,126.4886191,함평JC
34.8416797,126.4194833,목포IC
34.8401292,126.4296404,목포IC
36.8930447,126.7074317,당진IC
36.9429576,126.8116354,행담IC
37.0000820,126.8688623,서평택IC
37.2417442,126.8820531,비봉
37.2434160,126.8821481,비봉
37.2777355,126.8974570,매송IC
37.3672931,126.8700095,조남분기점
37.4037238,126.8785920,광명역
37.4231821,126.8916087,일직분기점
37.4215967,126.8950878,일직분기점
37.4237024,126.8974380,일직 분기점
37.4338137,126.8983396,소하분기점
35.9389060,127.0836288,익산분기점
35.7345571,126.9869487,금산사
35.5808011,126.8330162,정읍IC
35.6601519,126.9244382,태인IC
35.6623172,126.9294581,태인IC
35.2862735,126.7863166,장성IC
35.2827770,126.7892016,장성IC
36.4859853,127.0858176,공주분기점
36.4860160,127.0921231,공주분기점
37.5240153,126.7561319,서운분기점
37.5277786,126.7556903,서운분기점
37.5243463,126.7517389,서운분기점
37.5259277,126.7570008,서운분기점
37.5342432,126.7514703,서운분기점
37.5156244,127.0157288,한남대교분기점
37.5311769,127.0420722,성수대교 분기점
37.5263936,127.0549938,영동대교분기점
37.5244925,127.0580450,영동대교 분기점
37.5086302,127.0680042,청담대교 분기점
37.5208916,127.0621237,청담대교 분기점
37.5181747,127.0682837,청담IC
37.5169768,127.0876800,잠실대교 남단
37.5329677,127.0607844,청담대교 북단
37.5469087,126.7476868,계양
37.5434980,126.7486142,계양
37.5479015,126.7476609,계양
37.5340212,127.0270157,동호대교 분기점
37.5238892,126.7825245,부천
37.5241601,126.7729156,부천
37.5707038,126.7496465,노오지분기점
37.5702923,126.7528472,노오지분기점
37.5722205,126.7535810,노오지분기점
37.5659159,126.7525775,노오지분기점
35.1966100,126.9291033,문흥
35.1931326,126.9323204,문흥분기점
35.8795984,127.1744379,완주분기점
37.5335661,127.0588579,영동대교 북단
37.5345233,127.0550889,영동대교 북단
37.5836772,126.7907544,김포공항
34.9962579,127.5315281,순천분기점
37.5838494,126.8149635,88분기점
37.5920582,126.8312946,북로 분기점
37.5817884,126.8260392,방화대교분기점
37.5827586,126.8234032,방화대교분기점
37.5994720,126.7792540,김포
37.5954369,126.7718487,김포
37.5324016,127.0638150,영동대교 북단
37.5322057,127.0628619,청담대교 북단
37.6072335,126.8128267,행주IC
37.6049684,126.8210003,행주IC
37.5967793,126.8323745,북로분기점
37.5921935,126.8361138,북로분기점
34.7516520,126.5311254,서영암IC
34.7066825,126.9031675,장흥IC
34.7098518,126.9103592,장흥IC
34.6966249,126.7192538,강진 무위사
37.6323814,127.3066165,화도
37.6311597,127.3148385,화도분기점
37.6331338,127.3262664,화도분기점
37.6312091,127.3151891,화도
37.5955280,127.2126240,덕소삼패
37.6341494,127.3753296,서종나들목
37.6340278,127.3678732,서종나들목
37.6664915,127.4941436,설악IC
37.7543001,127.7878140,춘천분기점
37.7490423,127.7911959,춘천분기점
37.7586478,127.9616973,동홍천IC
